date,commodity,expiry,strike,call_put,settle_price,volume,open_interest,oi_change,delta,implied_vol_pct,black76_price,futures_price,underlying_fut,dte,time_to_expiry_yrs
2026-04-02,KC,DEC26,292.5000,C,19.6500,0,15,0,0.4231,36.3800,19.8034,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,292.5000,P,45.2000,0,15,0,0.5789,36.3800,45.0465,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,295.0000,C,18.9100,0,200,0,0.4114,36.2200,18.9100,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,297.5000,C,18.1900,0,20,0,0.3999,36.4800,18.3764,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,297.5000,P,48.6700,0,20,0,0.6028,36.4800,48.4834,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,300.0000,C,17.5000,15,1405,0,0.3887,36.5300,17.7004,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,300.0000,P,50.4400,0,1030,0,0.6145,36.5300,50.2393,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,302.5000,C,16.8400,0,10,0,0.3777,36.6000,17.0595,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,302.5000,P,52.2500,0,10,0,0.6259,36.6000,52.0302,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,307.5000,C,15.5900,0,1,0,0.3563,36.7100,15.8374,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,307.5000,P,55.9200,0,1,0,0.6482,36.7100,55.6720,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,310.0000,P,57.8000,0,100,0,0.6590,37.1400,57.8000,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,312.5000,C,14.4400,0,50,0,0.3360,36.8600,14.7204,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,312.5000,P,59.7000,0,25,0,0.6696,36.8600,59.4188,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,315.0000,C,13.8900,0,365,0,0.3261,36.9300,14.1893,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,315.0000,P,61.6200,0,1250,0,0.6800,36.9300,61.3196,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,320.0000,C,12.8600,1,1143,0,0.3072,37.0800,13.1971,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,320.0000,P,65.5300,0,20,0,0.7001,37.0800,65.1912,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,322.5000,C,12.3800,0,70,0,0.2981,36.6700,12.3800,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,325.0000,C,11.9200,0,250,0,0.2893,36.7300,11.9200,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,330.0000,C,11.0500,0,450,0,0.2722,37.4400,11.4575,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,330.0000,P,73.5900,0,250,0,0.7375,37.4400,73.1792,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,335.0000,C,10.2400,0,25,0,0.2561,37.6300,10.6899,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,335.0000,P,77.7300,0,40,0,0.7548,37.6300,77.2754,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,337.5000,C,9.8600,0,65,0,0.2484,37.0100,9.8600,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,340.0000,C,9.5000,0,145,0,0.2410,37.0800,9.5000,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,345.0000,C,8.8200,0,1,0,0.2266,37.2100,8.8200,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,347.5000,C,8.5000,0,1,0,0.2198,37.2800,8.5000,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,350.0000,C,8.1900,0,1292,0,0.2132,37.3400,8.1900,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,352.5000,C,7.8900,0,3,0,0.2068,37.4100,7.8900,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,355.0000,C,7.6100,0,33,0,0.2005,37.4800,7.6100,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,360.0000,C,7.0800,0,76,0,0.1886,37.6300,7.0800,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,362.5000,C,6.8300,0,4,0,0.1830,37.7000,6.8300,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,365.0000,C,6.5900,0,46,0,0.1775,39.0800,7.2984,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,365.0000,P,103.8000,0,1,0,0.8413,39.0800,103.0668,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,367.5000,C,6.3600,0,2,0,0.1722,37.8500,6.3600,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,370.0000,C,6.1400,0,212,0,0.1670,37.9300,6.1400,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,375.0000,C,5.7200,0,1318,0,0.1573,39.6600,6.5226,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,375.0000,P,112.8600,0,1,0,0.8640,39.6600,112.0185,266.5500,DEC26,224,0.6137
2026-04-02,KC,DEC26,380.0000,C,5.3400,0,170,0,0.1481,39.9800,6.1911,266.5500,DEC26,224,0.6137
