date,commodity,expiry,strike,call_put,settle_price,volume,open_interest,oi_change,delta,implied_vol_pct,black76_price,futures_price,underlying_fut,dte,time_to_expiry_yrs
2026-04-02,CT,DEC26,89.0000,C,1.2900,0,47,0,0.1905,22.8600,1.2900,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,90.0000,C,1.2000,12,2139,12,0.1777,23.1700,1.2000,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,91.0000,C,1.1100,20,10,10,0.1660,23.4300,1.1100,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,92.0000,C,1.0300,25,27,25,0.1551,23.7000,1.0300,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,93.0000,C,0.9600,0,136,0,0.1451,23.9900,0.9600,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,94.0000,C,0.9000,0,1,0,0.1358,24.3100,0.9000,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,95.0000,C,0.8400,0,908,0,0.1272,24.5900,0.8400,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,100.0000,C,0.6100,0,1025,0,0.0928,25.9600,0.6100,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,105.0000,C,0.4500,0,300,0,0.0690,27.1900,0.4500,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC26,120.0000,C,0.2000,0,458,0,0.0311,30.3700,0.2000,74.9800,DEC26,225,0.6164
2026-04-02,CT,DEC27,65.0000,P,1.8900,0,100,0,0.2683,12.3900,1.8900,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,66.0000,P,2.2800,0,345,0,0.3043,12.6200,2.2800,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,68.0000,P,3.2000,0,126,0,0.3772,13.1500,3.2000,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,70.0000,C,4.8300,0,1360,0,0.5518,13.7800,4.8300,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,72.0000,C,4.1200,0,455,0,0.4861,14.1700,4.1200,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,73.0000,C,3.8100,0,495,0,0.4558,14.3800,3.8100,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,74.0000,C,3.5200,0,50,0,0.4272,14.5600,3.5200,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,80.0000,C,2.2400,0,301,0,0.2892,15.7100,2.2400,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,90.0000,C,1.1100,0,330,0,0.1537,17.3600,1.1100,70.5700,DEC27,589,1.6137
2026-04-02,CT,DEC27,100.0000,C,0.5900,0,305,0,0.0851,18.7500,0.5900,70.5700,DEC27,589,1.6137
2026-04-02,CT,JAN27,71.0000,C,6.6400,0,21,0,0.7205,16.1000,6.6400,75.8400,MAR27,260,0.7123
2026-04-02,CT,JAN27,75.0000,C,4.7000,0,4,0,0.5601,17.4200,4.7000,75.8400,MAR27,260,0.7123
2026-04-02,CT,JAN27,81.0000,C,2.8300,0,15,0,0.3703,19.3100,2.8300,75.8400,MAR27,260,0.7123
2026-04-02,CT,JAN27,85.0000,C,2.0500,0,35,0,0.2793,20.4800,2.0500,75.8400,MAR27,260,0.7123
2026-04-02,CT,JAN27,90.0000,C,1.3800,0,102,0,0.1968,21.7200,1.3800,75.8400,MAR27,260,0.7123
2026-04-02,CT,JAN27,100.0000,C,0.6700,0,1,0,0.1002,23.9700,0.6700,75.8400,MAR27,260,0.7123
2026-04-02,CT,JUL26,45.0000,P,0.0100,0,1,0,0.0033,40.3800,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,50.0000,P,0.0300,0,112,0,0.0075,36.5200,0.0300,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,52.0000,P,0.0400,0,7,0,0.0103,34.3600,0.0400,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,53.0000,P,0.0500,0,32,0,0.0120,33.6800,0.0500,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,55.0000,P,0.0600,0,27,0,0.0163,31.0500,0.0600,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,56.0000,P,0.0700,0,5,0,0.0189,30.0400,0.0700,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,57.0000,P,0.0800,0,67,0,0.0220,28.9200,0.0800,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,58.0000,P,0.0900,2,1204,-2,0.0256,27.7200,0.0900,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,59.0000,C,14.1100,0,17,0,0.9824,28.0500,14.0653,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,59.0000,P,0.1000,0,191,0,0.0298,28.0500,0.1377,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,60.0000,C,13.1300,0,9,0,0.9771,26.8100,13.0907,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,60.0000,P,0.1200,1,1300,0,0.0348,26.8100,0.1544,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,61.0000,C,12.1400,0,1,0,0.9707,25.1600,12.1057,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,61.0000,P,0.1300,0,447,0,0.0409,25.1600,0.1607,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,62.0000,P,0.1600,24,2710,-24,0.0485,23.2800,0.1600,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,63.0000,C,10.2000,0,1,0,0.9525,22.7200,10.1702,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,63.0000,P,0.1800,4,1847,0,0.0581,22.7200,0.2078,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,64.0000,C,9.2400,0,2,0,0.9390,21.6200,9.2150,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,64.0000,P,0.2200,3,1929,-3,0.0709,21.6200,0.2439,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,65.0000,C,8.2900,1,906,-1,0.9204,20.6700,8.2747,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,65.0000,P,0.2800,1,2694,1,0.0885,20.6700,0.2949,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,66.0000,C,7.3800,201,1630,-37,0.8947,19.9900,7.3642,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,66.0000,P,0.3600,4,2001,-4,0.1129,19.9900,0.3756,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,67.0000,C,6.5100,37,1774,-37,0.8600,19.6300,6.4986,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,67.0000,P,0.4900,5,2286,0,0.1461,19.6300,0.5013,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,68.0000,C,5.7000,0,2439,0,0.8158,19.5100,5.6879,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,68.0000,P,0.6700,0,1380,0,0.1888,19.5100,0.6819,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,69.0000,C,4.9700,0,1416,0,0.7623,19.7800,4.9623,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,69.0000,P,0.9400,3,1277,-1,0.2408,19.7800,0.9476,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,70.0000,C,4.3000,121,4854,-80,0.7041,20.0400,4.2967,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,70.0000,P,1.2700,104,1302,2,0.2977,20.0400,1.2733,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,71.0000,C,3.7100,0,3160,0,0.6432,20.4100,3.7060,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,71.0000,P,1.6700,5,2356,-5,0.3576,20.4100,1.6739,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,72.0000,C,3.1800,27,3424,-27,0.5819,20.7800,3.1804,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,72.0000,P,2.1400,1,6009,1,0.4184,20.7800,2.1395,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,73.0000,C,2.7300,237,4413,-14,0.5220,21.2400,2.7298,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,73.0000,P,2.6800,4,1139,0,0.4779,21.2400,2.6802,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,74.0000,C,2.3400,37,2775,15,0.4653,21.7600,2.3442,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,74.0000,P,3.2900,0,4,0,0.5345,21.7600,3.2859,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,75.0000,C,2.0000,1729,7756,860,0.4124,22.2100,2.0035,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,75.0000,P,3.9400,0,2,0,0.5877,22.2100,3.9365,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,76.0000,C,1.7000,4,1457,0,0.3633,22.5800,1.7000,73.0500,JUL26,71,0.1945
